PE ID,Instructions Executed,Responses Received,Bytes Sent,Wait Time (sec),Execution Time (sec)
1,3,12,106,2.47541,8.30862
2,3,12,106,1.91141,15.5775
3,3,12,106,1.51138,14.372
4,3,12,106,1.9306,13.1466
5,3,12,106,2.38857,11.944
6,3,12,106,1.25531,10.7174
7,3,12,106,2.08653,7.10392
8,3,12,106,1.23035,9.51591
9,3,12,106,1.0886,4.71942
10,3,12,106,0.868324,5.89842
